Covariate alias	Description	Dataset name	Citation	Link	Category
aus_for23	Forests of Australia (2023) is a continental spatial dataset of forest extent	Forests of Australia (2023) dataset	"Australian Bureau of Agricultural and Resource Economics and Sciences, Forests of Australia (2023), Australian Bureau of Agricultural and Resource Economics and Sciences, Canberra, December. CC BY 4.0"	www.doi.org/10.25814/6cay-a361	Vegetation
bio01	"Annual mean temperature (¡C); 9"" resolution"	9s climatology for continental Australia 1976-2005: BIOCLIM variable suite 	"Harwood, Tom (2019): 9s climatology for continental Australia 1976-2005: BIOCLIM variable suite. v1. CSIRO. Data Collection."	https://doi.org/10.25919/5dce30cad79a8	Climate
bio04	Temperature seasonality; standard deviation of monthly temperature	9s climatology for continental Australia 1976-2005: BIOCLIM variable suite 	"Harwood, Tom (2019): 9s climatology for continental Australia 1976-2005: BIOCLIM variable suite. v1. CSIRO. Data Collection."	https://doi.org/10.25919/5dce30cad79a11	Climate
bio08	"Mean temperature of wettest quarter (¡C); 9"" resolution"	9s climatology for continental Australia 1976-2005: BIOCLIM variable suite 	"Harwood, Tom (2019): 9s climatology for continental Australia 1976-2005: BIOCLIM variable suite. v1. CSIRO. Data Collection."	https://doi.org/10.25919/5dce30cad79a15	Climate
bio09	"Mean temperature of driest quarter (¡C); 9"" resolution"	9s climatology for continental Australia 1976-2005: BIOCLIM variable suite 	"Harwood, Tom (2019): 9s climatology for continental Australia 1976-2005: BIOCLIM variable suite. v1. CSIRO. Data Collection."	https://doi.org/10.25919/5dce30cad79a16	Climate
bio12	"Annual precipitation (mm); 9"" resolution"	9s climatology for continental Australia 1976-2005: BIOCLIM variable suite 	"Harwood, Tom (2019): 9s climatology for continental Australia 1976-2005: BIOCLIM variable suite. v1. CSIRO. Data Collection."	https://doi.org/10.25919/5dce30cad79a19	Climate
bio15	"Precipitation seasonality; standard deviation of monthly precipitation; 9"" resolution"	9s climatology for continental Australia 1976-2005: BIOCLIM variable suite 	"Harwood, Tom (2019): 9s climatology for continental Australia 1976-2005: BIOCLIM variable suite. v1. CSIRO. Data Collection."	https://doi.org/10.25919/5dce30cad79a22	Climate
bio18	"Precipitation of warmest quarter (mm); 9"" resolution"	9s climatology for continental Australia 1976-2005: BIOCLIM variable suite 	"Harwood, Tom (2019): 9s climatology for continental Australia 1976-2005: BIOCLIM variable suite. v1. CSIRO. Data Collection."	https://doi.org/10.25919/5dce30cad79a25	Climate
bio19	"Precipitation of coldest quarter (mm); 9"" resolution"	9s climatology for continental Australia 1976-2005: BIOCLIM variable suite 	"Harwood, Tom (2019): 9s climatology for continental Australia 1976-2005: BIOCLIM variable suite. v1. CSIRO. Data Collection."	https://doi.org/10.25919/5dce30cad79a26	Climate
bio20	"Mean annual radiation; 9"" resolution"	9s climatology for continental Australia 1976-2005: BIOCLIM variable suite 	"Harwood, Tom (2019): 9s climatology for continental Australia 1976-2005: BIOCLIM variable suite. v1. CSIRO. Data Collection."	https://doi.org/10.25919/5dce30cad79a27	Climate
bio23	"Radiation seasonality; standard deviation of monthly radiation; 9"" resolution"	9s climatology for continental Australia 1976-2005: BIOCLIM variable suite 	"Harwood, Tom (2019): 9s climatology for continental Australia 1976-2005: BIOCLIM variable suite. v1. CSIRO. Data Collection."	https://doi.org/10.25919/5dce30cad79a30	Climate
bio28	"Annual mean moisture index; 9"" resolution"	9s climatology for continental Australia 1976-2005: BIOCLIM variable suite 	"Harwood, Tom (2019): 9s climatology for continental Australia 1976-2005: BIOCLIM variable suite. v1. CSIRO. Data Collection."	https://doi.org/10.25919/5dce30cad79a35	Climate
bio31	"Moisture index seasonality; standard deviation of monthly radiation; 9"" resolution"	9s climatology for continental Australia 1976-2005: BIOCLIM variable suite 	"Harwood, Tom (2019): 9s climatology for continental Australia 1976-2005: BIOCLIM variable suite. v1. CSIRO. Data Collection."	https://doi.org/10.25919/5dce30cad79a38	Climate
bio34	"Moisture index of warmest quarter; 9"" resolution"	9s climatology for continental Australia 1976-2005: BIOCLIM variable suite 	"Harwood, Tom (2019): 9s climatology for continental Australia 1976-2005: BIOCLIM variable suite. v1. CSIRO. Data Collection."	https://doi.org/10.25919/5dce30cad79a41	Climate
bio35	"Moisture index of coldest quarter; 9"" resolution"	9s climatology for continental Australia 1976-2005: BIOCLIM variable suite 	"Harwood, Tom (2019): 9s climatology for continental Australia 1976-2005: BIOCLIM variable suite. v1. CSIRO. Data Collection."	https://doi.org/10.25919/5dce30cad79a42	Climate
bulk_density_15cm	"Bulk Density of the whole soil (including coarse fragments) in mass per unit volume by a method equivalent to the core method (g/cm3);  5-15cm layer of soil; 3"" resolution"	"Soil and Landscape Grid National Soil Attribute Maps - Bulk Density (3"" resolution) - Release 2"	"Malone, Brendan (2023): Soil and Landscape Grid National Soil Attribute Maps - Bulk Density - Whole Earth - Release 2. v1. CSIRO. Data Collection. "	https://doi.org/10.25919/gxyn-pd07	Soil physical
bulk_density_5cm	"Bulk Density of the whole soil (including coarse fragments) in mass per unit volume by a method equivalent to the core method (g/cm3);  0-5cm layer of soil; 3"" resolution"	"Soil and Landscape Grid National Soil Attribute Maps - Bulk Density (3"" resolution) - Release 2"	"Malone, Brendan (2023): Soil and Landscape Grid National Soil Attribute Maps - Bulk Density - Whole Earth - Release 2. v1. CSIRO. Data Collection. "	https://doi.org/10.25919/gxyn-pd07	Soil physical
CEC_15cm	"Cation exchange capacity (meq/100g); cations extracted using barium chloride (BaCl2); 5-15cm layer of soil; 3"" resolution"	"Soil and Landscape Grid National Soil Attribute Maps - Cation Exchange Capacity (3"" resolution) - Release 1 "	"Malone, Brendan (2022): Soil and Landscape Grid National Soil Attribute Maps - Cation Exchange Capacity (3"" resolution) - Release 1. v1. CSIRO. Data Collection. "	https://doi.org/10.25919/pkva-gf85	Soil chemistry
CEC_5cm	"Cation exchange capacity (meq/100g); cations extracted using barium chloride (BaCl2); 0-5cm layer of soil; 3"" resolution"	"Soil and Landscape Grid National Soil Attribute Maps - Cation Exchange Capacity (3"" resolution) - Release 1 "	"Malone, Brendan (2022): Soil and Landscape Grid National Soil Attribute Maps - Cation Exchange Capacity (3"" resolution) - Release 1. v1. CSIRO. Data Collection. "	https://doi.org/10.25919/pkva-gf85	Soil chemistry
ECE_15cm	"Effective cation exchange capcity (meq/100g); cations extracted using barium chloride (BaCl2) plus exchangeable H + Al; 5-15cm layer of soil; 3"" resolution"	"Soil and Landscape Grid Australia-Wide 3D Soil Property Maps (3"" resolution) - Release 1 "	"Viscarra Rossel, Raphael; Chen, Charlie; Grundy, Mike; Searle, Ross; Clifford, David (2014): Soil and Landscape Grid Australia-Wide 3D Soil Property Maps (3"" resolution) - Release 1. v3. CSIRO. Data Collection. "	https://doi.org/10.4225/08/5aaf553b63215	Soil chemistry
ECE_5cm	"Effective cation exchange capcity (meq/100g); cations extracted using barium chloride (BaCl2) plus exchangeable H + Al; 0-5cm layer of soil; 3"" resolution"	"Soil and Landscape Grid Australia-Wide 3D Soil Property Maps (3"" resolution) - Release 1 "	"Viscarra Rossel, Raphael; Chen, Charlie; Grundy, Mike; Searle, Ross; Clifford, David (2014): Soil and Landscape Grid Australia-Wide 3D Soil Property Maps (3"" resolution) - Release 1. v3. CSIRO. Data Collection. "	https://doi.org/10.4225/08/5aaf553b63215	Soil chemistry
MAOC_proportion_15cm	"Proportions of mineral-associated organic carbon (MAOC), particulate organic carbon (POC) and pyrogenic organic carbon (PyOC) (%); 5-15cm layer of soil; 3"" resolution"	"Soil and Landscape Grid National Soil Attribute Maps - Soil Organic Carbon Fractions (3"" resolution) - Release 1"	"Roman Dobarco, Mercedes; Wadoux, Alexandre; Malone, Brendan; Minasny, Budiman; McBratney, Alex; Searle, Ross (2022): Soil and Landscape Grid National Soil Attribute Maps - Soil Organic Carbon Fractions (3"" resolution) - Release 1. v5. CSIRO. Data Collection."	https://doi.org/10.25919/fa46-ey49	Soil chemistry
MAOC_proportion_5cm	"Proportions of mineral-associated organic carbon (MAOC), particulate organic carbon (POC) and pyrogenic organic carbon (PyOC) (%); 0-5cm layer of soil; 3"" resolution"	"Soil and Landscape Grid National Soil Attribute Maps - Soil Organic Carbon Fractions (3"" resolution) - Release 1"	"Roman Dobarco, Mercedes; Wadoux, Alexandre; Malone, Brendan; Minasny, Budiman; McBratney, Alex; Searle, Ross (2022): Soil and Landscape Grid National Soil Attribute Maps - Soil Organic Carbon Fractions (3"" resolution) - Release 1. v5. CSIRO. Data Collection."	https://doi.org/10.25919/fa46-ey49	Soil chemistry
N_total_15cm	"Mass fraction of total nitrogen in the soil by weight (%); 5-15cm layer of soil; 3"" resolution"	"Soil and Landscape Grid Australia-Wide 3D Soil Property Maps (3"" resolution) - Release 1"	"Viscarra Rossel, Raphael; Chen, Charlie; Grundy, Mike; Searle, Ross; Clifford, David (2014): Soil and Landscape Grid Australia-Wide 3D Soil Property Maps (3"" resolution) - Release 1. v3. CSIRO. Data Collection. "	https://doi.org/10.4225/08/5aaf553b63215	Soil chemistry
N_total_5cm	"Mass fraction of total nitrogen in the soil by weight (%); 0-5cm layer of soil; 3"" resolution"	"Soil and Landscape Grid Australia-Wide 3D Soil Property Maps (3"" resolution) - Release 1"	"Viscarra Rossel, Raphael; Chen, Charlie; Grundy, Mike; Searle, Ross; Clifford, David (2014): Soil and Landscape Grid Australia-Wide 3D Soil Property Maps (3"" resolution) - Release 1. v3. CSIRO. Data Collection. "	https://doi.org/10.4225/08/5aaf553b63215	Soil chemistry
P_available_15cm	"Available phosphorus (mg/kg); 5-15cm layer of soil; 3"" resolution"	"Soil and Landscape Grid Australia-Wide 3D Soil Property Maps (3"" resolution) - Release 1"	"Zund, Peter (2022): Soil and Landscape Grid National Soil Attribute Maps - Available Phosphorus (3"" resolution) - Release 1. v1. CSIRO. Data Collection. "	https://doi.org/10.25919/6qzh-b979	Soil chemistry
