owner_org,title,notes,name,tag_string,spatial,license_id,resource_permissions,access_control_reason,access_control_date,access_control_mode,sequence_data_type,related_data,amplicon,analytical_platform,archive_ingestion_date,data_generated,data_type,dataset_url,date_of_transfer,description,flow_id,folder_name,omics,read_length,sample_submission_date,ticket
75a9f0a5-fc60-4af6-b455-32e2011d969b,Australian Microbiome Amplicons Control 16S J654K,16S MiSeq,bpa-amdb-genomics-amplicon-control-16s-control-j654k,,,CC-BY-4.0-AU,organization_member_after_embargo:archive_ingestion_date:90:am-consortium-members,,2020-09-08,date,illumina-amplicons,,16S,MiSeq,2020-06-16,2020-06-16,16S,,2020-06-10,MiSeq data package,J654K,20200610_AM_16S_UNSW_J654K,Genomics,300bp,2020-06-10,BPAOPS-912
75a9f0a5-fc60-4af6-b455-32e2011d969b,Australian Microbiome Amplicons Control 16S J655F,16S MiSeq,bpa-amdb-genomics-amplicon-control-16s-control-j655f,,,CC-BY-4.0-AU,organization_member_after_embargo:archive_ingestion_date:90:am-consortium-members,,2020-09-08,date,illumina-amplicons,,16S,MiSeq,2020-06-16,2020-06-16,16S,,2020-06-10,MiSeq data package,J655F,20200609_AM_16S_UNSW_J655F,Genomics,300bp,2020-06-10,BPAOPS-916
75a9f0a5-fc60-4af6-b455-32e2011d969b,Australian Microbiome Amplicons Control 16S J6562,16S MiSeq,bpa-amdb-genomics-amplicon-control-16s-control-j6562,,,CC-BY-4.0-AU,organization_member_after_embargo:archive_ingestion_date:90:am-consortium-members,,2020-09-08,date,illumina-amplicons,,16S,MiSeq,2020-06-16,2020-06-16,16S,,2020-06-10,MiSeq data package,J6562,20200610_AM_16S_UNSW_J6562,Genomics,300bp,2020-06-10,BPAOPS-911
75a9f0a5-fc60-4af6-b455-32e2011d969b,Australian Microbiome Amplicons Control 16S J6H5P,16S MiSeq,bpa-amdb-genomics-amplicon-control-16s-control-j6h5p,,,CC-BY-4.0-AU,organization_member_after_embargo:archive_ingestion_date:90:am-consortium-members,,2020-08-24,date,illumina-amplicons,,16S,MiSeq,2020-05-28,2020-05-28,16S,,2020-05-26,MiSeq data package,J6H5P,20200526_AM_16S_UNSW_J6H5P,Genomics,300bp,2020-05-26,BPAOPS-905
75a9f0a5-fc60-4af6-b455-32e2011d969b,Australian Microbiome Amplicons Control 16S J6H7B,16S MiSeq,bpa-amdb-genomics-amplicon-control-16s-control-j6h7b,,,CC-BY-4.0-AU,organization_member_after_embargo:archive_ingestion_date:90:am-consortium-members,,2020-08-24,date,illumina-amplicons,,16S,MiSeq,2020-05-28,2020-05-28,16S,,2020-05-26,MiSeq data package,J6H7B,20200526_AM_16S_UNSW_J6H7B,Genomics,300bp,2020-05-26,BPAOPS-907
75a9f0a5-fc60-4af6-b455-32e2011d969b,Australian Microbiome Amplicons Control 16S J6HJL,16S MiSeq,bpa-amdb-genomics-amplicon-control-16s-control-j6hjl,,,CC-BY-4.0-AU,organization_member_after_embargo:archive_ingestion_date:90:am-consortium-members,,2020-08-24,date,illumina-amplicons,,16S,MiSeq,2020-05-28,2020-05-28,16S,,2020-05-26,MiSeq data package,J6HJL,20200526_AM_16S_UNSW_J6HJL,Genomics,300bp,2020-05-26,BPAOPS-904
75a9f0a5-fc60-4af6-b455-32e2011d969b,Australian Microbiome Amplicons Control 16S J6HNJ,16S MiSeq,bpa-amdb-genomics-amplicon-control-16s-control-j6hnj,,,CC-BY-4.0-AU,organization_member_after_embargo:archive_ingestion_date:90:am-consortium-members,,2020-08-24,date,illumina-amplicons,,16S,MiSeq,2020-05-28,2020-05-28,16S,,2020-05-26,MiSeq data package,J6HNJ,20200525_AM_16S_UNSW_J6HNJ,Genomics,300bp,2020-05-26,BPAOPS-902
75a9f0a5-fc60-4af6-b455-32e2011d969b,Australian Microbiome Amplicons Control 16S J6HNK,16S MiSeq,bpa-amdb-genomics-amplicon-control-16s-control-j6hnk,,,CC-BY-4.0-AU,organization_member_after_embargo:archive_ingestion_date:90:am-consortium-members,,2020-08-24,date,illumina-amplicons,,16S,MiSeq,2020-05-28,2020-05-28,16S,,2020-05-26,MiSeq data package,J6HNK,20200526_AM_16S_UNSW_J6HNK,Genomics,300bp,2020-05-26,BPAOPS-906
75a9f0a5-fc60-4af6-b455-32e2011d969b,Australian Microbiome Amplicons Control 16S J6JF5,16S MiSeq,bpa-amdb-genomics-amplicon-control-16s-control-j6jf5,,,CC-BY-4.0-AU,organization_member_after_embargo:archive_ingestion_date:90:am-consortium-members,,2020-08-24,date,illumina-amplicons,,16S,MiSeq,2020-05-28,2020-05-28,16S,,2020-05-26,MiSeq data package,J6JF5,20200526_AM_16S_UNSW_J6JF5,Genomics,300bp,2020-05-26,BPAOPS-908
75a9f0a5-fc60-4af6-b455-32e2011d969b,Australian Microbiome Amplicons Control 16S J6KGL,16S MiSeq,bpa-amdb-genomics-amplicon-control-16s-control-j6kgl,,,CC-BY-4.0-AU,organization_member_after_embargo:archive_ingestion_date:90:am-consortium-members,,2020-08-24,date,illumina-amplicons,,16S,MiSeq,2020-05-28,2020-05-28,16S,,2020-05-26,MiSeq data package,J6KGL,20200526_AM_16S_UNSW_J6KGL,Genomics,300bp,2020-05-26,BPAOPS-903
75a9f0a5-fc60-4af6-b455-32e2011d969b,Australian Microbiome Amplicons Control 16S J6KR8,16S MiSeq,bpa-amdb-genomics-amplicon-control-16s-control-j6kr8,,,CC-BY-4.0-AU,organization_member_after_embargo:archive_ingestion_date:90:am-consortium-members,,2020-08-24,date,illumina-amplicons,,16S,MiSeq,2020-05-28,2020-05-28,16S,,2020-05-26,MiSeq data package,J6KR8,20200526_AM_16S_UNSW_J6KR8,Genomics,300bp,2020-05-26,BPAOPS-909
75a9f0a5-fc60-4af6-b455-32e2011d969b,Australian Microbiome Amplicons Control 16S J7B92,16S MiSeq,bpa-amdb-genomics-amplicon-control-16s-control-j7b92,,,CC-BY-4.0-AU,organization_member_after_embargo:archive_ingestion_date:90:am-consortium-members,,2020-09-08,date,illumina-amplicons,,16S,MiSeq,2020-06-16,2020-06-16,16S,,2020-06-10,MiSeq data package,J7B92,20200610_AM_16S_UNSW_J7B92,Genomics,300bp,2020-06-10,BPAOPS-914
75a9f0a5-fc60-4af6-b455-32e2011d969b,Australian Microbiome Amplicons Control 16S J7C52,16S MiSeq,bpa-amdb-genomics-amplicon-control-16s-control-j7c52,,,CC-BY-4.0-AU,organization_member_after_embargo:archive_ingestion_date:90:am-consortium-members,,2020-09-08,date,illumina-amplicons,,16S,MiSeq,2020-06-16,2020-06-16,16S,,2020-06-10,MiSeq data package,J7C52,20200610_AM_16S_UNSW_J7C52,Genomics,300bp,2020-06-10,BPAOPS-913
75a9f0a5-fc60-4af6-b455-32e2011d969b,Australian Microbiome Amplicons Control 16S J7LRK,16S MiSeq,bpa-amdb-genomics-amplicon-control-16s-control-j7lrk,,,CC-BY-4.0-AU,organization_member_after_embargo:archive_ingestion_date:90:am-consortium-members,,2020-09-08,date,illumina-amplicons,,16S,MiSeq,2020-06-16,2020-06-16,16S,,2020-06-10,MiSeq data package,J7LRK,20200610_AM_16S_UNSW_J7LRK,Genomics,300bp,2020-06-10,BPAOPS-915
75a9f0a5-fc60-4af6-b455-32e2011d969b,Australian Microbiome Amplicons Control 16S J8GW4,16S MiSeq,bpa-amdb-genomics-amplicon-control-16s-control-j8gw4,,,CC-BY-4.0-AU,organization_member_after_embargo:archive_ingestion_date:90:am-consortium-members,,2020-10-20,date,illumina-amplicons,,16S,MiSeq,2020-08-05,2020-08-05,16S,,2020-07-22,MiSeq data package,J8GW4,20200721_AM_16S_UNSW_J8GW4,Genomics,300bp,2020-07-22,BPAOPS-941
75a9f0a5-fc60-4af6-b455-32e2011d969b,Australian Microbiome Amplicons Control 16S JC839,16S MiSeq,bpa-amdb-genomics-amplicon-control-16s-control-jc839,,,CC-BY-4.0-AU,organization_member_after_embargo:archive_ingestion_date:90:am-consortium-members,,2021-02-22,date,illumina-amplicons,,16S,MiSeq,2020-11-26,2020-11-26,16S,,2020-11-24,MiSeq data package,JC839,20201124_AM_16S_UNSW_JC839,Genomics,300bp,2020-11-24,BPAOPS-987
75a9f0a5-fc60-4af6-b455-32e2011d969b,Australian Microbiome Amplicons Control 16S JC8JN,16S MiSeq,bpa-amdb-genomics-amplicon-control-16s-control-jc8jn,,,CC-BY-4.0-AU,organization_member_after_embargo:archive_ingestion_date:90:am-consortium-members,,2021-02-22,date,illumina-amplicons,,16S,MiSeq,2020-11-26,2020-11-26,16S,,2020-11-24,MiSeq data package,JC8JN,20201124_AM_16S_UNSW_JC8JN,Genomics,300bp,2020-11-24,BPAOPS-985
75a9f0a5-fc60-4af6-b455-32e2011d969b,Australian Microbiome Amplicons Control 16S JC8RL,16S MiSeq,bpa-amdb-genomics-amplicon-control-16s-control-jc8rl,,,CC-BY-4.0-AU,organization_member_after_embargo:archive_ingestion_date:90:am-consortium-members,,2021-01-20,date,illumina-amplicons,,16S,MiSeq,2020-11-09,2020-11-09,16S,,2020-10-22,MiSeq data package,JC8RL,20201022_AM_16S_UNSW_JC8RL,Genomics,300bp,2020-10-22,BPAOPS-974
75a9f0a5-fc60-4af6-b455-32e2011d969b,Australian Microbiome Amplicons Control 16S JCVRY,16S MiSeq,bpa-amdb-genomics-amplicon-control-16s-control-jcvry,,,CC-BY-4.0-AU,organization_member_after_embargo:archive_ingestion_date:90:am-consortium-members,,2021-02-22,date,illumina-amplicons,,16S,MiSeq,2020-11-26,2020-11-26,16S,,2020-11-24,MiSeq data package,JCVRY,20201124_AM_16S_UNSW_JCVRY,Genomics,300bp,2020-11-24,BPAOPS-986
75a9f0a5-fc60-4af6-b455-32e2011d969b,Australian Microbiome Amplicons Control 16S JDBCJ,16S MiSeq,bpa-amdb-genomics-amplicon-control-16s-control-jdbcj,,,CC-BY-4.0-AU,organization_member_after_embargo:archive_ingestion_date:90:am-consortium-members,,2021-02-16,date,illumina-amplicons,,16S,MiSeq,2020-11-18,2020-11-18,16S,,2020-11-18,MiSeq data package,JDBCJ,20201118_AM_16S_UNSW_JDBCJ,Genomics,300bp,2020-11-18,BPAOPS-979
75a9f0a5-fc60-4af6-b455-32e2011d969b,Australian Microbiome Amplicons Control 16S JDD94,16S MiSeq,bpa-amdb-genomics-amplicon-control-16s-control-jdd94,,,CC-BY-4.0-AU,organization_member_after_embargo:archive_ingestion_date:90:am-consortium-members,,2021-02-16,date,illumina-amplicons,,16S,MiSeq,2020-11-18,2020-11-18,16S,,2020-11-18,MiSeq data package,JDD94,20201118_AM_16S_UNSW_JDD94,Genomics,300bp,2020-11-18,BPAOPS-978
75a9f0a5-fc60-4af6-b455-32e2011d969b,Australian Microbiome Amplicons Control 16S JDD9G,16S MiSeq,bpa-amdb-genomics-amplicon-control-16s-control-jdd9g,,,CC-BY-4.0-AU,organization_member_after_embargo:archive_ingestion_date:90:am-consortium-members,,2021-02-16,date,illumina-amplicons,,16S,MiSeq,2020-11-18,2020-11-18,16S,,2020-11-18,MiSeq data package,JDD9G,20201118_AM_16S_UNSW_JDD9G,Genomics,300bp,2020-11-18,BPAOPS-977
75a9f0a5-fc60-4af6-b455-32e2011d969b,Australian Microbiome Amplicons Control 16S JDLV7,16S MiSeq,bpa-amdb-genomics-amplicon-control-16s-control-jdlv7,,,CC-BY-4.0-AU,organization_member_after_embargo:archive_ingestion_date:90:am-consortium-members,,2021-02-16,date,illumina-amplicons,,16S,MiSeq,2020-11-18,2020-11-18,16S,,2020-11-18,MiSeq data package,JDLV7,20201116_AM_16S_UNSW_JDLV7,Genomics,300bp,2020-11-18,BPAOPS-980
75a9f0a5-fc60-4af6-b455-32e2011d969b,Australian Microbiome Amplicons Control 16S JDNFT,16S MiSeq,bpa-amdb-genomics-amplicon-control-16s-control-jdnft,,,CC-BY-4.0-AU,organization_member_after_embargo:archive_ingestion_date:90:am-consortium-members,,2021-02-16,date,illumina-amplicons,,16S,MiSeq,2020-11-18,2020-11-18,16S,,2020-11-18,MiSeq data package,JDNFT,20201118_AM_16S_UNSW_JDNFT,Genomics,300bp,2020-11-18,BPAOPS-982
75a9f0a5-fc60-4af6-b455-32e2011d969b,Australian Microbiome Amplicons Control 16S JDNGG,16S MiSeq,bpa-amdb-genomics-amplicon-control-16s-control-jdngg,,,CC-BY-4.0-AU,organization_member_after_embargo:archive_ingestion_date:90:am-consortium-members,,2021-02-16,date,illumina-amplicons,,16S,MiSeq,2020-11-18,2020-11-18,16S,,2020-11-18,MiSeq data package,JDNGG,20201118_AM_16S_UNSW_JDNGG,Genomics,300bp,2020-11-18,BPAOPS-981
75a9f0a5-fc60-4af6-b455-32e2011d969b,Australian Microbiome Amplicons Control 16S JDNHK,16S MiSeq,bpa-amdb-genomics-amplicon-control-16s-control-jdnhk,,,CC-BY-4.0-AU,organization_member_after_embargo:archive_ingestion_date:90:am-consortium-members,,2021-03-09,date,illumina-amplicons,,16S,MiSeq,2020-12-09,2020-12-09,16S,,2020-12-09,MiSeq data package,JDNHK,20201209_AM_16S_UNSW_JDNHK,Genomics,300bp,2020-12-09,BPAOPS-1002
75a9f0a5-fc60-4af6-b455-32e2011d969b,Australian Microbiome Amplicons Control 16S JDY69,16S MiSeq,bpa-amdb-genomics-amplicon-control-16s-control-jdy69,,,CC-BY-4.0-AU,organization_member_after_embargo:archive_ingestion_date:90:am-consortium-members,,2021-03-09,date,illumina-amplicons,,16S,MiSeq,2020-12-09,2020-12-09,16S,,2020-12-09,MiSeq data package,JDY69,20201209_AM_16S_UNSW_JDY69,Genomics,300bp,2020-12-09,BPAOPS-1004
75a9f0a5-fc60-4af6-b455-32e2011d969b,Australian Microbiome Amplicons Control 16S JDY9G,16S MiSeq,bpa-amdb-genomics-amplicon-control-16s-control-jdy9g,,,CC-BY-4.0-AU,organization_member_after_embargo:archive_ingestion_date:90:am-consortium-members,,2021-03-09,date,illumina-amplicons,,16S,MiSeq,2020-12-09,2020-12-09,16S,,2020-12-09,MiSeq data package,JDY9G,20201209_AM_16S_UNSW_JDY9G,Genomics,300bp,2020-12-09,BPAOPS-1003
75a9f0a5-fc60-4af6-b455-32e2011d969b,Australian Microbiome Amplicons Control 16S JJ8FH,16S MiSeq,bpa-amdb-genomics-amplicon-control-16s-control-jj8fh,,,CC-BY-4.0-AU,organization_member_after_embargo:archive_ingestion_date:90:am-consortium-members,,2021-09-16,date,illumina-amplicons,,16S,MiSeq,2021-06-18,2021-06-18,16S,,2021-06-18,MiSeq data package,JJ8FH,20210618_AM_16S_UNSW_JJ8FH,Genomics,300bp,2021-06-18,BPAOPS-1088
75a9f0a5-fc60-4af6-b455-32e2011d969b,Australian Microbiome Amplicons Control 16S JJ8L6,16S MiSeq,bpa-amdb-genomics-amplicon-control-16s-control-jj8l6,,,CC-BY-4.0-AU,organization_member_after_embargo:archive_ingestion_date:90:am-consortium-members,,2021-09-22,date,illumina-amplicons,,16S,MiSeq,2021-06-24,2021-06-24,16S,,2021-06-24,MiSeq data package,JJ8L6,20210624_AM_16S_UNSW_JJ8L6,Genomics,300bp,2021-06-24,BPAOPS-1092
75a9f0a5-fc60-4af6-b455-32e2011d969b,Australian Microbiome Amplicons Control 16S JK5PT,16S MiSeq,bpa-amdb-genomics-amplicon-control-16s-control-jk5pt,,,CC-BY-4.0-AU,organization_member_after_embargo:archive_ingestion_date:90:am-consortium-members,,2021-05-11,date,illumina-amplicons,,16S,MiSeq,2021-02-16,2021-02-16,16S,,2021-02-10,MiSeq data package,JK5PT,20210210_AM_16S_UNSW_JK5PT,Genomics,300bp,2021-02-10,BPAOPS-1024
75a9f0a5-fc60-4af6-b455-32e2011d969b,Australian Microbiome Amplicons Control 16S JK8CJ,16S MiSeq,bpa-amdb-genomics-amplicon-control-16s-control-jk8cj,,,CC-BY-4.0-AU,organization_member_after_embargo:archive_ingestion_date:90:am-consortium-members,,2021-05-11,date,illumina-amplicons,,16S,MiSeq,2021-02-16,2021-02-16,16S,,2021-02-10,MiSeq data package,JK8CJ,20210210_AM_16S_UNSW_JK8CJ,Genomics,300bp,2021-02-10,BPAOPS-1025
75a9f0a5-fc60-4af6-b455-32e2011d969b,Australian Microbiome Amplicons Control 16S JKJTF,16S MiSeq,bpa-amdb-genomics-amplicon-control-16s-control-jkjtf,,,CC-BY-4.0-AU,organization_member_after_embargo:archive_ingestion_date:90:am-consortium-members,,2021-09-01,date,illumina-amplicons,,16S,MiSeq,2021-06-03,2021-06-03,16S,,2021-06-03,MiSeq data package,JKJTF,20210603_AM_16S_UNSW_JKJTF,Genomics,300bp,2021-06-03,BPAOPS-1078
75a9f0a5-fc60-4af6-b455-32e2011d969b,Australian Microbiome Amplicons Control 16S JKJW3,16S MiSeq,bpa-amdb-genomics-amplicon-control-16s-control-jkjw3,,,CC-BY-4.0-AU,organization_member_after_embargo:archive_ingestion_date:90:am-consortium-members,,2021-09-01,date,illumina-amplicons,,16S,MiSeq,2021-06-03,2021-06-03,16S,,2021-06-03,MiSeq data package,JKJW3,20210603_AM_16S_UNSW_JKJW3,Genomics,300bp,2021-06-03,BPAOPS-1079
75a9f0a5-fc60-4af6-b455-32e2011d969b,Australian Microbiome Amplicons Control 16S JL8GH,16S MiSeq,bpa-amdb-genomics-amplicon-control-16s-control-jl8gh,,,CC-BY-4.0-AU,organization_member_after_embargo:archive_ingestion_date:90:am-consortium-members,,2021-09-01,date,illumina-amplicons,,16S,MiSeq,2021-06-03,2021-06-03,16S,,2021-06-03,MiSeq data package,JL8GH,20210603_AM_16S_UNSW_JL8GH,Genomics,300bp,2021-06-03,BPAOPS-1077
75a9f0a5-fc60-4af6-b455-32e2011d969b,Australian Microbiome Amplicons Control 16S JMBDT,16S MiSeq,bpa-amdb-genomics-amplicon-control-16s-control-jmbdt,,,CC-BY-4.0-AU,organization_member_after_embargo:archive_ingestion_date:90:am-consortium-members,,2021-09-22,date,illumina-amplicons,,16S,MiSeq,2021-06-24,2021-06-24,16S,,2021-06-24,MiSeq data package,JMBDT,20210624_AM_16S_UNSW_JMBDT,Genomics,300bp,2021-06-24,BPAOPS-1095
75a9f0a5-fc60-4af6-b455-32e2011d969b,Australian Microbiome Amplicons Control 16S JMBDV,16S MiSeq,bpa-amdb-genomics-amplicon-control-16s-control-jmbdv,,,CC-BY-4.0-AU,organization_member_after_embargo:archive_ingestion_date:90:am-consortium-members,,2021-09-22,date,illumina-amplicons,,16S,MiSeq,2021-06-24,2021-06-24,16S,,2021-06-24,MiSeq data package,JMBDV,20210624_AM_16S_UNSW_JMBDV,Genomics,300bp,2021-06-24,BPAOPS-1093
75a9f0a5-fc60-4af6-b455-32e2011d969b,Australian Microbiome Amplicons Control 16S JMBF6,16S MiSeq,bpa-amdb-genomics-amplicon-control-16s-control-jmbf6,,,CC-BY-4.0-AU,organization_member_after_embargo:archive_ingestion_date:90:am-consortium-members,,2021-09-22,date,illumina-amplicons,,16S,MiSeq,2021-06-24,2021-06-24,16S,,2021-06-24,MiSeq data package,JMBF6,20210624_AM_16S_UNSW_JMBF6,Genomics,300bp,2021-06-24,BPAOPS-1094
75a9f0a5-fc60-4af6-b455-32e2011d969b,Australian Microbiome Amplicons Control 16S JMBYW,16S MiSeq,bpa-amdb-genomics-amplicon-control-16s-control-jmbyw,,,CC-BY-4.0-AU,organization_member_after_embargo:archive_ingestion_date:90:am-consortium-members,,2021-10-24,date,illumina-amplicons,,16S,MiSeq,2021-07-26,2021-07-26,16S,,2021-07-26,MiSeq data package,JMBYW,20210726_AM_16S_UNSW_JMBYW,Genomics,300bp,2021-07-26,BPAOPS-1121
75a9f0a5-fc60-4af6-b455-32e2011d969b,Australian Microbiome Amplicons Control 16S JMFGC,16S MiSeq,bpa-amdb-genomics-amplicon-control-16s-control-jmfgc,,,CC-BY-4.0-AU,organization_member_after_embargo:archive_ingestion_date:90:am-consortium-members,,2021-10-04,date,illumina-amplicons,,16S,MiSeq,2021-07-12,2021-07-12,16S,,2021-07-06,MiSeq data package,JMFGC,20210706_AM_16S_UNSW_JMFGC,Genomics,300bp,2021-07-06,BPAOPS-1103
75a9f0a5-fc60-4af6-b455-32e2011d969b,Australian Microbiome Amplicons Control 16S JMGTW,16S MiSeq,bpa-amdb-genomics-amplicon-control-16s-control-jmgtw,,,CC-BY-4.0-AU,organization_member_after_embargo:archive_ingestion_date:90:am-consortium-members,,2021-10-24,date,illumina-amplicons,,16S,MiSeq,2021-07-27,2021-07-27,16S,,2021-07-26,MiSeq data package,JMGTW,20210726_AM_16S_UNSW_JMGTW,Genomics,300bp,2021-07-26,BPAOPS-1122
75a9f0a5-fc60-4af6-b455-32e2011d969b,Australian Microbiome Amplicons Control 16S K3425,16S MiSeq,bpa-amdb-genomics-amplicon-control-16s-control-k3425,,,CC-BY-4.0-AU,organization_member_after_embargo:archive_ingestion_date:90:am-consortium-members,,2021-12-26,date,illumina-amplicons,,16S,MiSeq,2021-10-07,2021-10-07,16S,,2021-09-27,MiSeq data package,K3425,20210927_AM_16S_UNSW_K3425,Genomics,300bp,2021-09-27,BPAOPS-1135
75a9f0a5-fc60-4af6-b455-32e2011d969b,Australian Microbiome Amplicons Control 16S K34JG,16S MiSeq,bpa-amdb-genomics-amplicon-control-16s-control-k34jg,,,CC-BY-4.0-AU,organization_member_after_embargo:archive_ingestion_date:90:am-consortium-members,,2021-12-26,date,illumina-amplicons,,16S,MiSeq,2021-10-07,2021-10-07,16S,,2021-09-27,MiSeq data package,K34JG,20210927_AM_16S_UNSW_K34JG,Genomics,300bp,2021-09-27,BPAOPS-1136
75a9f0a5-fc60-4af6-b455-32e2011d969b,Australian Microbiome Amplicons Control 16S K39YG,16S MiSeq,bpa-amdb-genomics-amplicon-control-16s-control-k39yg,,,CC-BY-4.0-AU,organization_member_after_embargo:archive_ingestion_date:90:am-consortium-members,,2022-02-01,date,illumina-amplicons,,16S,MiSeq,2021-11-03,2021-11-03,16S,,2021-11-03,MiSeq data package,K39YG,20211103_AM_16S_UNSW_K39YG,Genomics,300bp,2021-11-03,BPAOPS-1159
75a9f0a5-fc60-4af6-b455-32e2011d969b,Australian Microbiome Amplicons Control 16S K3W7D,16S MiSeq,bpa-amdb-genomics-amplicon-control-16s-control-k3w7d,,,CC-BY-4.0-AU,organization_member_after_embargo:archive_ingestion_date:90:am-consortium-members,,2022-02-24,date,illumina-amplicons,,16S,MiSeq,2021-11-29,2021-11-29,16S,,2021-11-26,MiSeq data package,K3W7D,20211126_AM_16S_UNSW_K3W7D,Genomics,300bp,2021-11-26,BPAOPS-1174
75a9f0a5-fc60-4af6-b455-32e2011d969b,Australian Microbiome Amplicons Control 16S K3W7Y,16S MiSeq,bpa-amdb-genomics-amplicon-control-16s-control-k3w7y,,,CC-BY-4.0-AU,organization_member_after_embargo:archive_ingestion_date:90:am-consortium-members,,2022-02-24,date,illumina-amplicons,,16S,MiSeq,2021-11-29,2021-11-29,16S,,2021-11-26,MiSeq data package,K3W7Y,20211126_AM_16S_UNSW_K3W7Y,Genomics,300bp,2021-11-26,BPAOPS-1173
75a9f0a5-fc60-4af6-b455-32e2011d969b,Australian Microbiome Amplicons Control 16S K3W8F,16S MiSeq,bpa-amdb-genomics-amplicon-control-16s-control-k3w8f,,,CC-BY-4.0-AU,organization_member_after_embargo:archive_ingestion_date:90:am-consortium-members,,2022-02-06,date,illumina-amplicons,,16S,MiSeq,2021-11-08,2021-11-08,16S,,2021-11-08,MiSeq data package,K3W8F,20211108_AM_16S_UNSW_K3W8F,Genomics,300bp,2021-11-08,BPAOPS-1161
