owner_org,title,notes,name,tag_string,spatial,license_id,resource_permissions,access_control_reason,access_control_date,access_control_mode,sequence_data_type,related_data,amplicon,analytical_platform,archive_ingestion_date,contextual_data_submission_date,data_generated,data_type,dataset_url,date_of_transfer,description,facility,flow_id,folder_name,omics,read_length,sample_submission_date,ticket
75a9f0a5-fc60-4af6-b455-32e2011d969b,BASE Amplicons Control 16S A5K1H,MiSeq,bpa-base-genomics-amplicon-control-16s-control-a5k1h,,,notspecified,organization_member_after_embargo:archive_ingestion_date:90:am-consortium-members,Unable to determine correct embargo period.,,closed,illumina-amplicons,,16S,MiSeq,,,,,,,,AGRF,A5K1H,,Genomics,300bp,,BRLOPS-273
75a9f0a5-fc60-4af6-b455-32e2011d969b,BASE Amplicons Control 16S A5YJC,MiSeq,bpa-base-genomics-amplicon-control-16s-control-a5yjc,,,notspecified,organization_member_after_embargo:archive_ingestion_date:90:am-consortium-members,Unable to determine correct embargo period.,,closed,illumina-amplicons,,16S,MiSeq,,,,,,,,RAMACIOTTI,A5YJC,,Genomics,300bp,,BRLOPS-268
75a9f0a5-fc60-4af6-b455-32e2011d969b,BASE Amplicons Control 16S A5YK6,MiSeq,bpa-base-genomics-amplicon-control-16s-control-a5yk6,,,notspecified,organization_member_after_embargo:archive_ingestion_date:90:am-consortium-members,Unable to determine correct embargo period.,,closed,illumina-amplicons,,16S,MiSeq,,,,,,,,RAMACIOTTI,A5YK6,,Genomics,300bp,,BRLOPS-270
75a9f0a5-fc60-4af6-b455-32e2011d969b,BASE Amplicons Control 16S A801W,MiSeq,bpa-base-genomics-amplicon-control-16s-control-a801w,,,notspecified,organization_member_after_embargo:archive_ingestion_date:90:am-consortium-members,Unable to determine correct embargo period.,,closed,illumina-amplicons,,16S,MiSeq,,,,,,,,AGRF,A801W,,Genomics,300bp,,BRLOPS-273
75a9f0a5-fc60-4af6-b455-32e2011d969b,BASE Amplicons Control 16S A815D,MiSeq 16S MiSeq,bpa-base-genomics-amplicon-control-16s-control-a815d,,,CC-BY-4.0-AU,organization_member_after_embargo:archive_ingestion_date:90:am-consortium-members,,2014-11-25,date,illumina-amplicons,,16S,MiSeq,2014-09-03,,2014-09-03,MiSeq 16S,,2014-08-27,BASE Plate 4,AGRF,A815D,20140826_AGRF_BPA_BASE_A815N,Genomics,300bp,2014-08-27,BRLOPS-445
75a9f0a5-fc60-4af6-b455-32e2011d969b,BASE Amplicons Control 16S A815N,MiSeq 16S MiSeq,bpa-base-genomics-amplicon-control-16s-control-a815n,,,CC-BY-4.0-AU,organization_member_after_embargo:archive_ingestion_date:90:am-consortium-members,,2014-11-25,date,illumina-amplicons,,16S,MiSeq,2014-09-03,,2014-09-03,MiSeq 16S,,2014-08-27,BASE Plate 4,AGRF,A815N,20140826_AGRF_BPA_BASE_A815N,Genomics,300bp,2014-08-27,BRLOPS-445
75a9f0a5-fc60-4af6-b455-32e2011d969b,BASE Amplicons Control 16S A8190,MiSeq,bpa-base-genomics-amplicon-control-16s-control-a8190,,,notspecified,organization_member_after_embargo:archive_ingestion_date:90:am-consortium-members,Unable to determine correct embargo period.,,closed,illumina-amplicons,,16S,MiSeq,,,,,,,,AGRF,A8190,,Genomics,300bp,,BRLOPS-273
75a9f0a5-fc60-4af6-b455-32e2011d969b,BASE Amplicons Control 16S A819B,MiSeq,bpa-base-genomics-amplicon-control-16s-control-a819b,,,notspecified,organization_member_after_embargo:archive_ingestion_date:90:am-consortium-members,Unable to determine correct embargo period.,,closed,illumina-amplicons,,16S,MiSeq,,,,,,,,RAMACIOTTI,A819B,,Genomics,300bp,,BRLOPS-269
75a9f0a5-fc60-4af6-b455-32e2011d969b,BASE Amplicons Control 16S AAF2V,MiSeq 16S MiSeq,bpa-base-genomics-amplicon-control-16s-control-aaf2v,,,CC-BY-4.0-AU,organization_member_after_embargo:archive_ingestion_date:90:am-consortium-members,,2014-11-16,date,illumina-amplicons,,16S,MiSeq,2014-08-20,,2014-08-20,MiSeq 16S,,2014-08-18,BASE Plate 3,RAMACIOTTI,AAF2V,20140818_UNSW_BPA_BASE_AAF2V,Genomics,300bp,2014-08-18,BRLOPS-416
75a9f0a5-fc60-4af6-b455-32e2011d969b,BASE Amplicons Control 16S AAHKD,MiSeq 16S MiSeq,bpa-base-genomics-amplicon-control-16s-control-aahkd,,,CC-BY-4.0-AU,organization_member_after_embargo:archive_ingestion_date:90:am-consortium-members,,2014-11-16,date,illumina-amplicons,,16S,MiSeq,2014-08-20,,2014-08-20,MiSeq 16S,,2014-08-18,BASE Plate 4,RAMACIOTTI,AAHKD,20140818_UNSW_BPA_BASE_AAHKD,Genomics,300bp,2014-08-18,BRLOPS-417
75a9f0a5-fc60-4af6-b455-32e2011d969b,BASE Amplicons Control 16S AC9BY,MiSeq 16S MiSeq,bpa-base-genomics-amplicon-control-16s-control-ac9by,,,CC-BY-4.0-AU,organization_member_after_embargo:archive_ingestion_date:90:am-consortium-members,,2015-02-02,date,illumina-amplicons,,16S,MiSeq,2014-11-05,,2014-11-05,MiSeq 16S,,2014-11-04,BASE 16S amplicon,RAMACIOTTI,AC9BY,20141104_UNSW_BPA_BASE_AC9BY,Genomics,300bp,2014-11-04,BRLOPS-492
75a9f0a5-fc60-4af6-b455-32e2011d969b,BASE Amplicons Control 16S AC9E5,MiSeq 16S MiSeq,bpa-base-genomics-amplicon-control-16s-control-ac9e5,,,CC-BY-4.0-AU,organization_member_after_embargo:archive_ingestion_date:90:am-consortium-members,,2015-02-02,date,illumina-amplicons,,16S,MiSeq,2014-11-05,,2014-11-05,MiSeq 16S,,2014-11-04,BASE 16S amplicon,RAMACIOTTI,AC9E5,20141104_UNSW_BPA_BASE_ACE95,Genomics,300bp,2014-11-04,BRLOPS-493
75a9f0a5-fc60-4af6-b455-32e2011d969b,BASE Amplicons Control 16S AGBMG,MiSeq 16S MiSeq,bpa-base-genomics-amplicon-control-16s-control-agbmg,,,CC-BY-4.0-AU,organization_member_after_embargo:archive_ingestion_date:90:am-consortium-members,,2015-09-03,date,illumina-amplicons,,16S,MiSeq,2015-06-05,,2015-06-05,MiSeq 16S,,2015-06-05,BASE 16S amplicon,AGRF,AGBMG,20150605_AGRF_BPA_BASE_AGBMG,Genomics,300bp,2015-06-05,BRLOPS-654
75a9f0a5-fc60-4af6-b455-32e2011d969b,BASE Amplicons Control 16S AGEFE,MiSeq 16S MiSeq,bpa-base-genomics-amplicon-control-16s-control-agefe,,,CC-BY-4.0-AU,organization_member_after_embargo:archive_ingestion_date:90:am-consortium-members,,2015-10-11,date,illumina-amplicons,,16S,MiSeq,2015-07-14,,2015-07-14,MiSeq 16S,,2015-07-13,BASE Plate 8,RAMACIOTTI,AGEFE,20150713_UNSW_BPA_BASE_AGEFE,Genomics,300bp,2015-07-13,BRLOPS-669
75a9f0a5-fc60-4af6-b455-32e2011d969b,BASE Amplicons Control 16S AGEJK,MiSeq 16S MiSeq,bpa-base-genomics-amplicon-control-16s-control-agejk,,,CC-BY-4.0-AU,organization_member_after_embargo:archive_ingestion_date:90:am-consortium-members,,2015-10-11,date,illumina-amplicons,,16S,MiSeq,2015-07-14,,2015-07-14,MiSeq 16S,,2015-07-13,BASE Plate 9,RAMACIOTTI,AGEJK,20150713_UNSW_BPA_BASE_AGEJK,Genomics,300bp,2015-07-13,BRLOPS-670
