Run	Input_Reads	Output_Reads	Retained_Reads_%	Dropped_Reads_%	Mean_Reads_Per_Sample	Min_Reads	Max_Reads	Samples_LT_10K_Reads	Samples_10-20K_Reads	Samples_MT_20K_Reads
1	6333175	4620042	72.95	27.05	96250	44320	175438	0	0	48
2	984310	695558	70.66	29.34	69555	33651	108447	0	0	10
3	173562	105549	60.81	39.19	52774	50765	54784	0	0	2
4	5297834	4248007	80.18	19.82	80151	40009	142530	0	0	53
5	5309675	2920146	55.00	45.00	62130	1008	118327	6	2	39
6	4391924	1898553	43.23	56.77	59329	1114	104637	3	0	29
7	4837136	2188015	45.23	54.77	68375	1434	133668	3	0	29
8	1983122	1342972	67.72	32.28	51652	19777	80809	0	1	25
9	2230268	1313918	58.91	41.09	187702	98430	274765	0	0	7
10	703167	465081	66.14	33.86	58135	36406	86504	0	0	8
11	3476785	2910440	83.71	16.29	93885	119	179722	1	0	30
12	325187	245478	75.49	24.51	81826	64317	111786	0	0	3
13	6533135	4737732	72.52	27.48	102994	520	183150	1	0	45
14	9013407	6715999	74.51	25.49	72999	38169	108247	0	0	92
15	8317936	5113619	61.48	38.52	111165	77545	138918	0	0	46
16	6601161	5060954	76.67	23.33	90374	54673	198865	0	0	56
17	7204851	4082310	56.66	43.34	94937	14042	651789	0	1	42
18	10911680	7118052	65.23	34.77	148292	27195	695225	0	0	48
19	7252029	5029449	69.35	30.65	167648	122496	250095	0	0	30
20	3971857	2966835	74.70	25.30	80184	45576	121366	0	0	37
21	6961246	4157828	59.73	40.27	50705	23018	117029	0	0	82
22	9967450	6548770	65.70	34.30	136432	113962	181448	0	0	48
23	16512967	10757825	65.15	34.85	139712	57242	227700	0	0	77
24	11011264	8104627	73.60	26.40	87146	10122	160393	0	1	92
25	17564179	9609554	54.71	45.29	103328	47955	208382	0	0	93
26	5512210	2683630	48.69	51.31	58339	40513	85190	0	0	46
27	6847380	2896798	42.31	57.69	64373	42756	136133	0	0	45
28	11115987	4396668	39.55	60.45	93546	67288	137681	0	0	47
29	3878589	2483735	64.04	35.96	52845	10843	90497	0	1	46
30	1608346	1074366	66.80	33.20	24417	15476	35519	0	8	36
31	4569793	3290194	72.00	28.00	59821	16598	111385	0	2	53
32	3216640	2117082	65.82	34.18	45044	29348	73934	0	0	47
33	6052684	5516812	91.15	8.85	77701	42447	211257	0	0	71
34	17326102	10343498	59.70	40.30	90732	1509	122772	1	0	113
35	13354902	8770077	65.67	34.33	103177	68388	136452	0	0	85
36	16154393	10568571	65.42	34.58	75489	40809	119904	0	0	140
37	16810123	10754562	63.98	36.02	77370	47741	127419	0	0	139
38	17586045	9552138	54.32	45.68	68720	41869	123605	0	0	139
39	11692370	7832622	66.99	33.01	174058	53059	1406285	0	0	45
40	9978471	5720796	57.33	42.67	114415	98392	177015	0	0	50
41	9584920	5060148	52.79	47.21	107662	91953	128365	0	0	47
42	4480401	3078389	68.71	31.29	61567	27655	166963	0	0	50
43	5845168	4053868	69.35	30.65	72390	33596	115160	0	0	56
