Run	Input_Reads	Output_Reads	Retained_Reads_%	Dropped_Reads_%	Mean_Reads_Per_Sample	Min_Reads	Max_Reads	Samples_LT_10K_Reads	Samples_10-20K_Reads	Samples_MT_20K_Reads
1	6333175	3039216	47.99	52.01	63317	29399	118259	0	0	48
2	984310	231653	23.53	76.47	23165	17603	35031	0	4	6
3	173562	92926	53.54	46.46	46463	44270	48656	0	0	2
4	5297834	3421961	64.59	35.41	64565	31110	114882	0	0	53
5	5309675	1524970	28.72	71.28	32446	236	60647	8	2	37
6	4391924	820828	18.69	81.31	25650	444	44517	3	7	22
7	4837136	686776	14.20	85.80	21461	366	41603	6	8	18
8	1983122	850956	42.91	57.09	32729	12477	53098	0	5	21
9	2230268	675709	30.30	69.70	96529	51333	130695	0	0	7
10	703167	281810	40.08	59.92	35226	22577	52303	0	0	8
11	3476785	1182138	34.00	66.00	38133	21	72576	1	5	25
12	325187	180265	55.43	44.57	60088	46283	84489	0	0	3
13	6533135	2435849	37.28	62.72	52953	126	96392	1	0	45
14	9013407	5343992	59.29	40.71	58086	30001	88263	0	0	92
15	8317936	3865860	46.48	53.52	84040	53081	110940	0	0	46
16	6601161	4139512	62.71	37.29	73919	45142	161229	0	0	56
17	7204851	2209278	30.66	69.34	51378	7870	350835	1	3	39
18	10911680	6229304	57.09	42.91	129777	23778	608057	0	0	48
19	7252029	3479497	47.98	52.02	115983	83669	180593	0	0	30
20	3971857	1628598	41.00	59.00	44016	22876	64949	0	0	37
21	6961246	1114162	16.01	83.99	13587	5357	31916	20	57	5
22	9967450	4654858	46.70	53.30	96976	77491	132895	0	0	48
23	16512967	7544681	45.69	54.31	97982	41072	169445	0	0	77
24	11011264	5992032	54.42	45.58	64430	8301	114551	1	0	92
25	17564179	5567561	31.70	68.30	59866	26130	125718	0	0	93
26	5512210	430910	7.82	92.18	9367	6184	14275	34	12	0
27	6847380	428854	6.26	93.74	9530	5705	26385	33	11	1
28	11115987	1202595	10.82	89.18	25587	17342	42135	0	4	43
29	3878589	1798192	46.36	53.64	38259	10774	62407	0	1	46
30	1608346	316168	19.66	80.34	7185	3958	10753	40	4	0
31	4569793	1799091	39.37	60.63	32710	8025	66896	1	6	48
32	3216640	1237534	38.47	61.53	26330	17764	43879	0	8	39
33	6052684	4338613	71.68	28.32	61107	33188	168696	0	0	71
34	17326102	6587660	38.02	61.98	57786	990	81277	1	0	113
35	13354902	6973465	52.22	47.78	82040	54179	105061	0	0	85
36	16154393	7592932	47.00	53.00	54235	29884	90704	0	0	140
37	16810123	9459539	56.27	43.73	68054	41368	107299	0	0	139
38	17586045	7080067	40.26	59.74	50935	31102	82169	0	0	139
39	11692370	6950538	59.45	40.55	154456	43799	1283431	0	0	45
40	9978471	3549821	35.57	64.43	70996	58110	114801	0	0	50
41	9584920	4079247	42.56	57.44	86792	73992	106474	0	0	47
42	4480401	1804907	40.28	59.72	36098	15760	101359	0	3	47
43	5845168	2278771	38.99	61.01	40692	17582	64028	0	1	55
