"Run","Input_Reads","Output_Reads","Retained_Reads_%","Dropped_Reads_%","Mean_Reads_Per_Sample","Min_Reads","Max_Reads","Samples_LT_10K_Reads","Samples_10-20K_Reads","Samples_MT_20K_Reads"
1,4517228,3901223,86.05,0.14,75024,31724,229709,0,0,52
2,1590288,1404138,88.13,0.12,87759,1476,212419,2,0,14
3,385815,333498,86.27,0.14,41687,946,81022,2,1,5
4,8363735,7480930,88.96,0.11,133588,254,711023,2,1,53
5,8017150,6921146,86.14,0.14,141248,499,509124,5,1,43
6,6438010,5164981,80.02,0.2,147571,201,396634,6,1,28
7,1166044,974115,83.02,0.16,54118,1166,166413,1,1,16
8,2557486,2188047,85.44,0.14,198913,87,624816,1,0,10
9,1053594,949999,90.07,0.1,79167,308,202629,2,1,9
10,4701089,4183173,88.64,0.11,113059,510,846147,3,0,34
11,967360,770172,79.44,0.2,110025,31522,296991,0,0,7
12,4440312,3757839,83.87,0.15,69590,227,300304,3,0,51
13,6314658,5602487,87.85,0.11,54393,357,230711,3,2,98
14,6313564,4642492,73.01,0.26,92850,5,312421,4,1,45
15,8037506,7088773,87.94,0.12,122220,6386,391880,1,4,53
16,5824651,4600668,78.79,0.21,112211,5098,664389,3,4,34
17,6343947,5428988,85.29,0.14,123386,7004,407687,1,2,41
18,6023071,5102379,84.51,0.15,130830,52254,297114,0,0,39
19,4012523,3036739,75.22,0.24,77865,14313,139436,0,2,37
20,5696469,4730629,82.86,0.17,189225,15984,469644,0,1,24
21,2897286,2390152,81.91,0.18,51960,10755,189256,0,4,42
22,10091225,9128471,90.33,0.1,169046,10275,541140,0,1,53
23,14092639,10713456,75.93,0.24,116451,35690,313634,0,0,92
24,8236035,5847448,70.89,0.29,61552,33,312294,30,7,58
25,4495285,4116192,91.44,0.08,45233,480,220844,31,11,49
26,4669571,4458737,95.36,0.05,29924,1,281540,100,12,37
27,6155008,4958826,80.26,0.19,103309,35544,266195,0,0,48
28,6864851,5384171,78.2,0.22,114557,48268,235850,0,0,47
29,7788325,6111801,78.25,0.22,124731,49988,270926,0,0,49
30,2969965,2634394,87.87,0.11,53763,4045,112934,2,1,46
31,6520927,5738479,87.75,0.12,41887,849,139083,9,23,105
32,3332415,2753859,82.08,0.17,61197,1266,151384,2,2,41
33,3306793,2708979,81.47,0.18,49254,19603,130123,0,1,54
34,3238101,2832404,86.93,0.13,60264,30879,124261,0,0,47
35,4636781,4211953,90.59,0.09,59323,19514,153601,0,1,70
36,7141718,6367130,89.02,0.11,55852,665,138878,9,2,103
37,6240300,5656032,90.43,0.09,66542,17775,182717,0,5,80
38,7705791,6782861,87.78,0.12,47767,245,154609,8,20,114
39,6619121,6080490,91.61,0.08,43432,700,125500,11,27,102
40,5177229,4505260,86.74,0.13,102392,11439,844487,0,3,41
41,1030096,977616,94.18,0.05,21253,6456,32258,4,15,27
42,2026395,1755536,86.23,0.13,40826,3928,499310,2,2,39
43,4782189,3980664,82.57,0.17,64204,101,310665,5,2,55
44,3606027,3039521,83.76,0.16,54277,1288,284111,3,3,50
