family	genus	species	mycorrhizal_type
Acanthaceae	Avicennia	Avicennia marina	AM
Anacardiaceae	Buchanania	Buchanania arborescens	AM
Anacardiaceae	Buchanania	Buchanania obovata	AM
Annonaceae	Huberantha	Huberantha nitidissima	AM
Annonaceae	Monoon	Monoon australe	AM
Apocynaceae	Alstonia	Alstonia scholaris	AM
Apocynaceae	Carissa	Carissa spinarum	AM
Apocynaceae	Cerbera	Cerbera manghas	AM
Apocynaceae	Wrightia	Wrightia pubescens	AM
Araliaceae	Polyscias	Polyscias australiana	AM
Araucariaceae	Agathis	Agathis robusta	AM
Araucariaceae	Araucaria	Araucaria bidwillii	AM
Araucariaceae	Araucaria	Araucaria cunninghamii	AM
Araucariaceae	Wollemia	Wollemia nobilis	EcM-AM
Arecaceae	Carpentaria	Carpentaria acuminata	AM
Arecaceae	Cocos	Cocos nucifera	AM
Arecaceae	Livistona	Livistona humilis	AM
Arecaceae	Normanbya	Normanbya normanbyi	AM
Arecaceae	Nypa	Nypa fruticans	AM
Asparagaceae	Cordyline	Cordyline fruticosa	NM
Asphodelaceae	Xanthorrhoea	Xanthorrhoea gracilis	AM
Asphodelaceae	Xanthorrhoea	Xanthorrhoea preissii	AM
Atherospermataceae	Doryphora	Doryphora aromatica	AM
Bignoniaceae	Deplanchea	Deplanchea tetraphylla	AM
Bixaceae	Cochlospermum	Cochlospermum fraseri	AM
Boraginaceae	Ehretia	Ehretia acuminata	AM
Boraginaceae	Heliotropium	Heliotropium arboreum	AM
Burseraceae	Canarium	Canarium australianum	AM
Calophyllaceae	Calophyllum	Calophyllum inophyllum	AM
Calophyllaceae	Calophyllum	Calophyllum sil	AM
Calophyllaceae	Calophyllum	Calophyllum soulattri	AM
Cannabaceae	Celtis	Celtis philippensis	AM
Cannabaceae	Trema	Trema orientale	AM
Casuarinaceae	Casuarina	Casuarina cunninghamiana	EcM-AM
Casuarinaceae	Casuarina	Casuarina equisetifolia	EcM-AM
Celastraceae	Lophopetalum	Lophopetalum arnhemicum	AM
Celastraceae	Pleurostylia	Pleurostylia opposita	AM
Chrysobalanaceae	Maranthes	Maranthes corymbosa	AM
Combretaceae	Terminalia	Terminalia catappa	AM
Combretaceae	Terminalia	Terminalia hadleyana	AM
Combretaceae	Terminalia	Terminalia latipes	AM
Combretaceae	Terminalia	Terminalia platyphylla	AM
Cornaceae	Alangium	Alangium salviifolium	AM
Cunoniaceae	Ceratopetalum	Ceratopetalum apetalum	AM
Cunoniaceae	Ceratopetalum	Ceratopetalum succirubrum	AM
Cupressaceae	Callitris	Callitris columellaris	AM
Cupressaceae	Callitris	Callitris endlicheri	AM
Cupressaceae	Callitris	Callitris muelleri	AM
Cupressaceae	Callitris	Callitris oblonga	AM
Cupressaceae	Callitris	Callitris pyramidalis	AM
Cupressaceae	Callitris	Callitris rhomboidea	AM
Dilleniaceae	Dillenia	Dillenia alata	AM
Ebenaceae	Diospyros	Diospyros laurina	AM
Ebenaceae	Diospyros	Diospyros maritima	AM
Elaeocarpaceae	Elaeocarpus	Elaeocarpus bancroftii	AM
Euphorbiaceae	Aleurites	Aleurites moluccanus	AM
Euphorbiaceae	Excoecaria	Excoecaria agallocha	AM
Euphorbiaceae	Macaranga	Macaranga tanarius	AM
Euphorbiaceae	Mallotus	Mallotus mollissimus	AM
Euphorbiaceae	Mallotus	Mallotus paniculatus	AM
Euphorbiaceae	Mallotus	Mallotus philippensis	AM
Fabaceae	Acacia	Acacia aulacocarpa	EcM-AM
Fabaceae	Acacia	Acacia auriculiformis	EcM-AM
Fabaceae	Acacia	Acacia crassicarpa	EcM-AM
Fabaceae	Acacia	Acacia dealbata	EcM-AM
Fabaceae	Acacia	Acacia difficilis	EcM-AM
Fabaceae	Acacia	Acacia dimidiata	EcM-AM
Fabaceae	Acacia	Acacia gonocarpa	EcM-AM
Fabaceae	Acacia	Acacia hemignosta	EcM-AM
Fabaceae	Acacia	Acacia holosericea	EcM-AM
Fabaceae	Acacia	Acacia implexa	EcM-AM
Fabaceae	Acacia	Acacia latescens	EcM-AM
Fabaceae	Acacia	Acacia mangium	EcM-AM
Fabaceae	Acacia	Acacia mearnsii	EcM-AM
Fabaceae	Acacia	Acacia mimula	EcM-AM
Fabaceae	Acacia	Acacia mountfordiae	EcM-AM
Fabaceae	Acacia	Acacia obtusifolia	EcM-AM
Fabaceae	Acacia	Acacia plectocarpa	EcM-AM
Fabaceae	Acacia	Acacia rigens	EcM-AM
Fabaceae	Acacia	Acacia saligna	AM
Fabaceae	Acacia	Acacia stricta	EcM-AM
Fabaceae	Acacia	Acacia torulosa	AM
Fabaceae	Acacia	Acacia tropica	EcM-AM
Fabaceae	Adenanthera	Adenanthera pavonina	AM
Fabaceae	Albizia	Albizia lebbeck	AM
Fabaceae	Albizia	Albizia procera	AM
