family	genus	AM	EcM	Dual	NM	consensus_mycorrhizal_type	consensus_type_proportion	fungal_root_mycorrhizal_type	match
Acanthaceae	Avicennia	1	0	0	0	AM	1	AM	TRUE
Anacardiaceae	Buchanania	2	0	0	0	AM	1	AM	TRUE
Annonaceae	Huberantha	1	0	0	0	AM	1	AM	TRUE
Annonaceae	Monoon	1	0	0	0	AM	1	AM	TRUE
Apocynaceae	Alstonia	1	0	0	0	AM	1	AM	TRUE
Apocynaceae	Carissa	1	0	0	0	AM	1	AM	TRUE
Apocynaceae	Cerbera	1	0	0	0	AM	1	AM	TRUE
Apocynaceae	Wrightia	1	0	0	0	AM	1	AM	TRUE
Araliaceae	Polyscias	1	0	0	0	AM	1	AM	TRUE
Araucariaceae	Agathis	1	0	0	0	AM	1	AM	TRUE
Araucariaceae	Araucaria	2	0	0	0	AM	1	AM	TRUE
Araucariaceae	Wollemia	0	0	1	0	Dual	1	AM	FALSE
Arecaceae	Carpentaria	1	0	0	0	AM	1	AM	TRUE
Arecaceae	Cocos	1	0	0	0	AM	1	AM	TRUE
Arecaceae	Livistona	1	0	0	0	AM	1	AM	TRUE
Arecaceae	Normanbya	1	0	0	0	AM	1	AM	TRUE
Arecaceae	Nypa	1	0	0	0	AM	1	AM	TRUE
Asparagaceae	Cordyline	0	0	0	1	NM	1	AM	FALSE
Asphodelaceae	Xanthorrhoea	2	0	0	0	AM	1	AM	TRUE
Atherospermataceae	Doryphora	1	0	0	0	AM	1	AM	TRUE
Bignoniaceae	Deplanchea	1	0	0	0	AM	1	AM	TRUE
Bixaceae	Cochlospermum	1	0	0	0	AM	1	AM	TRUE
Boraginaceae	Ehretia	1	0	0	0	AM	1	AM	TRUE
Boraginaceae	Heliotropium	1	0	0	0	AM	1	AM	TRUE
Burseraceae	Canarium	1	0	0	0	AM	1	AM	TRUE
Calophyllaceae	Calophyllum	3	0	0	0	AM	1	AM	TRUE
Cannabaceae	Celtis	1	0	0	0	AM	1	AM	TRUE
Cannabaceae	Trema	1	0	0	0	AM	1	AM	TRUE
Casuarinaceae	Casuarina	0	0	2	0	Dual	1	Dual	TRUE
Celastraceae	Lophopetalum	1	0	0	0	AM	1	AM	TRUE
Celastraceae	Pleurostylia	1	0	0	0	AM	1	AM	TRUE
Chrysobalanaceae	Maranthes	1	0	0	0	AM	1	AM	TRUE
Combretaceae	Terminalia	4	0	0	0	AM	1	AM	TRUE
Cornaceae	Alangium	1	0	0	0	AM	1	AM	TRUE
Cunoniaceae	Ceratopetalum	2	0	0	0	AM	1	AM	TRUE
Cupressaceae	Callitris	6	0	0	0	AM	1	AM	TRUE
Dilleniaceae	Dillenia	1	0	0	0	AM	1	AM	TRUE
Ebenaceae	Diospyros	2	0	0	0	AM	1	AM	TRUE
Elaeocarpaceae	Elaeocarpus	1	0	0	0	AM	1	AM	TRUE
Euphorbiaceae	Aleurites	1	0	0	0	AM	1	AM	TRUE
Euphorbiaceae	Excoecaria	1	0	0	0	AM	1	AM	TRUE
Euphorbiaceae	Macaranga	1	0	0	0	AM	1	AM	TRUE
Euphorbiaceae	Mallotus	3	0	0	0	AM	1	AM	TRUE
Fabaceae	Acacia	2	0	20	0	Dual	0.909090909090909	Dual	TRUE
Fabaceae	Adenanthera	1	0	0	0	AM	1	AM	TRUE
Fabaceae	Albizia	2	0	0	0	AM	1	AM	TRUE
Fabaceae	Archidendron	2	0	0	0	AM	1	AM	TRUE
Fabaceae	Bossiaea	1	0	0	0	AM	1	AM	TRUE
Fabaceae	Castanospermum	1	0	0	0	AM	1	AM	TRUE
Fabaceae	Dichrostachys	1	0	0	0	AM	1	AM	TRUE
Fabaceae	Erythrina	2	0	0	0	AM	1	AM	TRUE
Fabaceae	Erythrophleum	0	0	1	0	Dual	1	AM	FALSE
Fabaceae	Intsia	0	1	0	0	EcM	1	EcM	TRUE
Fabaceae	Peltophorum	1	0	0	0	AM	1	AM	TRUE
Fabaceae	Piliostigma	0	1	0	0	EcM	1	AM	FALSE
Fabaceae	Pongamia	1	0	0	0	AM	1	AM	TRUE
Fabaceae	Senna	2	0	0	0	AM	1	AM	TRUE
Fabaceae	Sophora	1	0	0	0	AM	1	AM	TRUE
Hernandiaceae	Gyrocarpus	1	0	0	0	AM	1	AM	TRUE
Lamiaceae	Clerodendrum	1	0	0	0	AM	1	AM	TRUE
Lamiaceae	Premna	1	0	0	0	AM	1	AM	TRUE
Lamiaceae	Vitex	1	0	0	0	AM	1	AM	TRUE
Lauraceae	Beilschmiedia	1	0	0	0	AM	1	AM	TRUE
Lauraceae	Cryptocarya	5	0	0	0	AM	1	AM	TRUE
Lauraceae	Litsea	3	0	0	0	AM	1	AM	TRUE
Lecythidaceae	Barringtonia	1	0	0	0	AM	1	AM	TRUE
Lecythidaceae	Planchonia	1	0	0	0	AM	1	AM	TRUE
Loganiaceae	Strychnos	1	0	0	0	AM	1	AM	TRUE
