family	genus	scientific_name	native_status	mycorrhizal_type
Fabaceae	Abarema	Abarema cochliocarpos	non-native	AM
Fabaceae	Abarema	Abarema levelii	non-native	AM
Fabaceae	Abarema	Abarema maestrensis	non-native	AM
Salicaceae	Abatia	Abatia mexicana	non-native	AM
Salicaceae	Abatia	Abatia parviflora	non-native	AM
Salicaceae	Abatia	Abatia spicata	non-native	AM
Pinaceae	Abies	Abies alba	non-native	EcM
Pinaceae	Abies	Abies amabilis	non-native	EcM
Pinaceae	Abies	Abies balsamea	non-native	EcM
Pinaceae	Abies	Abies beshanzuensis	non-native	EcM
Pinaceae	Abies	Abies bracteata	non-native	EcM
Pinaceae	Abies	Abies cephalonica	non-native	EcM
Pinaceae	Abies	Abies chensiensis	non-native	EcM
Pinaceae	Abies	Abies cilicica	non-native	EcM
Pinaceae	Abies	Abies concolor	non-native	EcM
Pinaceae	Abies	Abies delavayi	non-native	EcM
Pinaceae	Abies	Abies densa	non-native	EcM
Pinaceae	Abies	Abies durangensis	non-native	EcM
Pinaceae	Abies	Abies fabri	non-native	EcM
Pinaceae	Abies	Abies fanjingshanensis	non-native	EcM
Pinaceae	Abies	Abies fargesii	non-native	EcM
Pinaceae	Abies	Abies firma	non-native	EcM
Pinaceae	Abies	Abies forrestii	non-native	EcM
Pinaceae	Abies	Abies fraseri	non-native	EcM
Pinaceae	Abies	Abies grandis	non-native	EcM
Pinaceae	Abies	Abies guatemalensis	non-native	EcM
Pinaceae	Abies	Abies hickelii	non-native	EcM
Pinaceae	Abies	Abies hidalgensis	non-native	EcM
Pinaceae	Abies	Abies holophylla	non-native	EcM
Pinaceae	Abies	Abies homolepis	non-native	EcM
Pinaceae	Abies	Abies jaliscana	non-native	EcM
Pinaceae	Abies	Abies kawakamii	non-native	EcM
Pinaceae	Abies	Abies koreana	non-native	EcM
Pinaceae	Abies	Abies lasiocarpa	non-native	EcM
Pinaceae	Abies	Abies magnifica	non-native	EcM
Pinaceae	Abies	Abies mariesii	non-native	EcM
Pinaceae	Abies	Abies nebrodensis	non-native	EcM
Pinaceae	Abies	Abies nephrolepis	non-native	EcM
Pinaceae	Abies	Abies nordmanniana	non-native	EcM
Pinaceae	Abies	Abies numidica	non-native	EcM
Pinaceae	Abies	Abies pindrow	non-native	EcM
Pinaceae	Abies	Abies pinsapo	non-native	EcM
Pinaceae	Abies	Abies procera	non-native	EcM
Pinaceae	Abies	Abies recurvata	non-native	EcM
Pinaceae	Abies	Abies religiosa	non-native	EcM
Pinaceae	Abies	Abies sachalinensis	non-native	EcM
Pinaceae	Abies	Abies sibirica	non-native	EcM
Pinaceae	Abies	Abies spectabilis	non-native	EcM
Pinaceae	Abies	Abies squamata	non-native	EcM
Pinaceae	Abies	Abies veitchii	non-native	EcM
Pinaceae	Abies	Abies vejarii	non-native	EcM
Pinaceae	Abies	Abies yuanbaoshanensis	non-native	EcM
Pinaceae	Abies	Abies ziyuanensis	non-native	EcM
Anacardiaceae	Abrahamia	Abrahamia antongilensis	non-native	uncertain
Anacardiaceae	Abrahamia	Abrahamia betamponensis	non-native	uncertain
Anacardiaceae	Abrahamia	Abrahamia capuronii	non-native	uncertain
Anacardiaceae	Abrahamia	Abrahamia darainensis	non-native	uncertain
Anacardiaceae	Abrahamia	Abrahamia deflexa	non-native	uncertain
Anacardiaceae	Abrahamia	Abrahamia delphinensis	non-native	uncertain
Anacardiaceae	Abrahamia	Abrahamia ditimena	non-native	uncertain
Anacardiaceae	Abrahamia	Abrahamia ellipticarpa	non-native	uncertain
Anacardiaceae	Abrahamia	Abrahamia elongata	non-native	uncertain
Anacardiaceae	Abrahamia	Abrahamia grandidieri	non-native	uncertain
Anacardiaceae	Abrahamia	Abrahamia humbertii	non-native	uncertain
Anacardiaceae	Abrahamia	Abrahamia itromoensis	non-native	uncertain
Anacardiaceae	Abrahamia	Abrahamia latifolia	non-native	uncertain
Anacardiaceae	Abrahamia	Abrahamia lecomtei	non-native	uncertain
Anacardiaceae	Abrahamia	Abrahamia lenticellata	non-native	uncertain
Anacardiaceae	Abrahamia	Abrahamia littoralis	non-native	uncertain
Anacardiaceae	Abrahamia	Abrahamia lokobensis	non-native	uncertain
Anacardiaceae	Abrahamia	Abrahamia longipetiolata	non-native	uncertain
Anacardiaceae	Abrahamia	Abrahamia louvelii	non-native	uncertain
Anacardiaceae	Abrahamia	Abrahamia minutifolia	non-native	uncertain
