family	genus	scientific_name	mycorrhizal_type
Myrtaceae	Leptospermum	Leptospermum scoparium	EcM-AM
Sapindaceae	Harpullia	Harpullia pendula	AM
Myrtaceae	Eucalyptus	Eucalyptus pumila	EcM
Scrophulariaceae	Eremophila	Eremophila bignoniiflora	AM
Moraceae	Ficus	Ficus superba	AM
Cupressaceae	Callitris	Callitris endlicheri	AM
Myrtaceae	Eucalyptus	Eucalyptus utilis	EcM
Rubiaceae	Psydrax	Psydrax latifolius	AM
Sapindaceae	Synima	Synima cordieri	AM
Myrtaceae	Tristaniopsis	Tristaniopsis collina	EcM-AM
Myrtaceae	Eucalyptus	Eucalyptus xanthonema	EcM
Myrtaceae	Eucalyptus	Eucalyptus leptocalyx	EcM
Myrtaceae	Eucalyptus	Eucalyptus microtheca	EcM
Myrtaceae	Eucalyptus	Eucalyptus kitsoniana	EcM
Myrtaceae	Eucalyptus	Eucalyptus lehmannii	EcM
Rutaceae	Nematolepis	Nematolepis squamea	AM
Fabaceae	Acacia	Acacia caroleae	EcM-AM
Myrtaceae	Calytrix	Calytrix exstipulata	EcM-AM
Myrtaceae	Lophostemon	Lophostemon lactifluus	EcM-AM
Myrtaceae	Eucalyptus	Eucalyptus amygdalina	EcM
Lecythidaceae	Barringtonia	Barringtonia acutangula	AM
Anacardiaceae	Pleiogynium	Pleiogynium timoriense	AM
Myrtaceae	Eucalyptus	Eucalyptus erosa	EcM
Malvaceae	Grewia	Grewia polygama	AM
Myrtaceae	Eucalyptus	Eucalyptus cinerea	EcM
Myrtaceae	Eucalyptus	Eucalyptus porosa	EcM
Myrtaceae	Melaleuca	Melaleuca leucadendra	EcM-AM
Lauraceae	Cryptocarya	Cryptocarya laevigata	AM
Malvaceae	Brachychiton	Brachychiton paradoxus	AM
Zamiaceae	Lepidozamia	Lepidozamia hopei	AM
Apocynaceae	Alyxia	Alyxia stellata	NM-AM
Arecaceae	Corypha	Corypha utan	AM
Euphorbiaceae	Croton	Croton capitis-york	AM
Cunoniaceae	Vesselowskya	Vesselowskya rubifolia	NM-AM
Fabaceae	Acacia	Acacia ammophila	EcM-AM
Meliaceae	Didymocheton	Didymocheton gaudichaudianum	AM
Lythraceae	Sonneratia	Sonneratia lanceolata	AM
Myrtaceae	Eucalyptus	Eucalyptus dumosa	EcM
Proteaceae	Grevillea	Grevillea striata	NM
Myrtaceae	Eucalyptus	Eucalyptus relicta	EcM
Fabaceae	Acacia	Acacia trinalis	EcM-AM
Myrtaceae	Eucalyptus	Eucalyptus capillosa	EcM
Fabaceae	Acacia	Acacia deanei	EcM-AM
Fabaceae	Heliodendron	Heliodendron thozetianum	AM
Fabaceae	Acacia	Acacia coolgardiensis	EcM-AM
Santalaceae	Santalum	Santalum acuminatum	NM-AM
Moraceae	Ficus	Ficus geniculata	AM
Calophyllaceae	Calophyllum	Calophyllum bicolor	AM
Rubiaceae	Lasianthus	Lasianthus chinensis	AM
Sapotaceae	Planchonella	Planchonella arnhemica	AM
Myrtaceae	Gossia	Gossia inophloia	AM
Fabaceae	Acacia	Acacia anaticeps	EcM-AM
Myrtaceae	Eucalyptus	Eucalyptus spathulata	EcM
Myrtaceae	Eucalyptus	Eucalyptus tereticornis	EcM
Meliaceae	Vavaea	Vavaea amicorum	AM
Malvaceae	Heritiera	Heritiera trifoliolata	AM
Gyrostemonaceae	Codonocarpus	Codonocarpus cotinifolius	NM
Myrtaceae	Eucalyptus	Eucalyptus jucunda	EcM
Rubiaceae	Triflorensia	Triflorensia cameronii	AM
Myrtaceae	Syzygium	Syzygium kuranda	AM
Arecaceae	Ptychosperma	Ptychosperma macarthurii	AM
Fabaceae	Vachellia	Vachellia douglasica	AM
Simaroubaceae	Samadera	Samadera bidwillii	AM
Myrtaceae	Eucalyptus	Eucalyptus oleosa	EcM
Meliaceae	Synoum	Synoum glandulosum	AM
