scientific_name	genus	family	mycorrhizal_type	estimate
Jupunba abbottii	Jupunba	Fabaceae	AM	family
Hydrochorea acreana	Hydrochorea	Fabaceae	AM	genus
Jupunba adenophora	Jupunba	Fabaceae	AM	family
Jupunba alexandri	Jupunba	Fabaceae	AM	family
Jupunba asplenifolia	Jupunba	Fabaceae	AM	family
Jupunba auriculata	Jupunba	Fabaceae	AM	family
Jupunba barbouriana	Jupunba	Fabaceae	AM	family
Jupunba barnebyana	Jupunba	Fabaceae	AM	family
Jupunba brachystachya	Jupunba	Fabaceae	AM	family
Punjuba callejasii	Punjuba	Fabaceae	AM	genus
Jupunba campestris	Jupunba	Fabaceae	AM	family
Punjuba centiflora	Punjuba	Fabaceae	AM	genus
Jupunba cochleata	Jupunba	Fabaceae	AM	family
Abarema cochliocarpos	Abarema	Fabaceae	AM	genus
Jupunba commutata	Jupunba	Fabaceae	AM	family
Jupunba curvicarpa	Jupunba	Fabaceae	AM	family
Jupunba ferruginea	Jupunba	Fabaceae	AM	family
Jupunba filamentosa	Jupunba	Fabaceae	AM	family
Jupunba floribunda	Jupunba	Fabaceae	AM	family
Jupunba gallorum	Jupunba	Fabaceae	AM	family
Jupunba ganymedea	Jupunba	Fabaceae	AM	family
Jupunba glauca	Jupunba	Fabaceae	AM	family
Jupunba idiopoda	Jupunba	Fabaceae	AM	family
Punjuba josephi	Punjuba	Fabaceae	AM	genus
Abarema jupunba	Abarema	Fabaceae	AM	genus
Punjuba killipii	Punjuba	Fabaceae	AM	genus
Jupunba laeta	Jupunba	Fabaceae	AM	family
Jupunba langsdorffii	Jupunba	Fabaceae	AM	family
Punjuba lehmannii	Punjuba	Fabaceae	AM	genus
Jupunba leucophylla	Jupunba	Fabaceae	AM	family
Abarema levelii	Abarema	Fabaceae	AM	genus
Jupunba rhombea	Jupunba	Fabaceae	AM	family
Jupunba longipedunculata	Jupunba	Fabaceae	AM	family
Jupunba macradenia	Jupunba	Fabaceae	AM	family
Abarema maestrensis	Abarema	Fabaceae	AM	genus
Jupunba mataybifolia	Jupunba	Fabaceae	AM	family
Jupunba microcalyx	Jupunba	Fabaceae	AM	family
Jupunba nipensis	Jupunba	Fabaceae	AM	family
Jupunba obovalis	Jupunba	Fabaceae	AM	family
Jupunba oppositifolia	Jupunba	Fabaceae	AM	family
Jupunba oxyphyllidia	Jupunba	Fabaceae	AM	family
Jupunba piresii	Jupunba	Fabaceae	AM	family
Punjuba racemiflora	Punjuba	Fabaceae	AM	genus
Jupunba turbinata	Jupunba	Fabaceae	AM	family
Jupunba villifera	Jupunba	Fabaceae	AM	family
Jupunba villosa	Jupunba	Fabaceae	AM	family
Jupunba zolleriana	Jupunba	Fabaceae	AM	family
Abatia mexicana	Abatia	Salicaceae	AM	genus
Abatia parviflora	Abatia	Salicaceae	AM	genus
Abatia rugosa	Abatia	Salicaceae	AM	genus
Abatia spicata	Abatia	Salicaceae	AM	genus
Abies alba	Abies	Pinaceae	EcM	genus
Abies amabilis	Abies	Pinaceae	EcM	genus
Abies balsamea	Abies	Pinaceae	EcM	genus
Abies beshanzuensis	Abies	Pinaceae	EcM	genus
Abies bracteata	Abies	Pinaceae	EcM	genus
Abies cephalonica	Abies	Pinaceae	EcM	genus
Abies chensiensis	Abies	Pinaceae	EcM	genus
Abies cilicica	Abies	Pinaceae	EcM	genus
Abies concolor	Abies	Pinaceae	EcM	genus
Abies delavayi	Abies	Pinaceae	EcM	genus
Abies densa	Abies	Pinaceae	EcM	genus
Abies durangensis	Abies	Pinaceae	EcM	genus
Abies fabri	Abies	Pinaceae	EcM	genus
Abies fanjingshanensis	Abies	Pinaceae	EcM	genus
Abies fargesii	Abies	Pinaceae	EcM	genus
Abies firma	Abies	Pinaceae	EcM	genus
Abies forrestii	Abies	Pinaceae	EcM	genus
Abies fraseri	Abies	Pinaceae	EcM	genus
Abies grandis	Abies	Pinaceae	EcM	genus
Abies guatemalensis	Abies	Pinaceae	EcM	genus
Abies hickelii	Abies	Pinaceae	EcM	genus
Abies hidalgensis	Abies	Pinaceae	EcM	genus
Abies holophylla	Abies	Pinaceae	EcM	genus
Abies homolepis	Abies	Pinaceae	EcM	genus
Abies jaliscana	Abies	Pinaceae	EcM	genus
Abies kawakamii	Abies	Pinaceae	EcM	genus
Abies koreana	Abies	Pinaceae	EcM	genus
Abies lasiocarpa	Abies	Pinaceae	EcM	genus
Abies magnifica	Abies	Pinaceae	EcM	genus
Abies mariesii	Abies	Pinaceae	EcM	genus
